Rank,Channel Name,Uploads,Subscribers,Views
1st,Zee Kids,234,8.33M,"3,643,598,504"
2nd,KIM ORO,377,5.11M,"2,736,236,534"
3rd,GR6 EXPLODE,"3,852",35.8M,"21,269,138,997"
4th,Topper Guild,457,3.53M,"4,864,452,328"
5th,Dance India Dance,"5,207",9.24M,"4,314,080,321"
6th,T-Series,"15,844",194M,"166,762,643,043"
7th,SET India,"66,918",116M,"100,272,557,867"
8th,Cocomelon - Nursery Rhymes,696,119M,"110,118,864,955"
9th,Sony SAB,"42,096",58.2M,"64,013,603,320"
10th,We Made Your Day,856,4.85M,"3,137,225,319"
11th,Car Buddies,34,3.65M,"1,196,295,816"
12th,TIKTORIKI,386,3.49M,"6,910,120,887"
13th,ABS-CBN Entertainment,"162,739",36.5M,"43,713,442,547"
14th,Vlad and Niki,396,72.6M,"53,974,544,645"
15th,Dan Rhodes,658,5.95M,"5,262,010,661"
16th,Colors TV,"66,486",45.4M,"40,998,186,361"
17th,Kids Music Land,93,1.29M,"909,953,416"
18th,Zee TV,"58,393",59.4M,"13,454,505,321"
19th,Trending Tech HD,21,535K,"19,929"
20th,Zee Music Company,"5,749",77.5M,"41,211,296,504"
21st,Satisfying Mix,190,3.13M,"3,514,471,473"
22nd,✿ Kids Diana Show,930,84M,"62,909,009,824"
23rd,Gummy Memes,88,1.42M,"259,793,849"
24th,HOME THEATRE,629,2.35M,"626,260,134"
25th,AnthonySenpai,397,1.56M,"2,539,782,771"
26th,JUST CHILL,82,376K,"838,520,915"
27th,WWE,"57,132",82.2M,"63,037,730,906"
28th,Like Nastya,621,77M,"62,076,793,271"
29th,Voot Kids,"2,477",32M,"13,753,087,084"
30th,Connor Murphy,265,2.38M,"458,207,524"
31st,ZEE5,"42,316",11.1M,"11,456,748,731"
32nd,Zhong,599,5.45M,"4,588,016,115"
33rd,HAR PAL GEO,"28,900",23.5M,"16,581,898,825"
34th,Suyash Vlogs,472,2.35M,"2,501,109,330"
35th,Трудолюга,34,2.05M,"126,035"
36th,Olivia Rodrigo,11,7.56M,"1,622,898,096"
37th,Goldmines,"1,722",59.4M,"13,669,002,722"
38th,Sony PAL,"16,024",27.6M,"18,851,415,501"
39th,व्लाद और निक�…,355,21.5M,"12,754,598,840"
40th,Herrouchi,268,1.65M,"1,374,565,646"
41st,Tsuriki Show,779,6.06M,"9,598,131,805"
42nd,D Billions,153,13.2M,"11,587,476,138"
43rd,Alan Chikin Chow,219,4.25M,"3,893,197,521"
44th,Cam Casey,778,2.37M,"3,012,775,598"
45th,shfa2 - شفا,"1,065",31.7M,"18,841,377,516"
46th,น้องนุช ประท…,681,1.48M,"380,109,298"
47th,Nick Murphy,25,29K,"8,404,346"
48th,Mv Ryhan,369,6.77M,"5,397,636,130"
49th,HUM TV,"15,388",15.9M,"9,996,436,414"
50th,Movieclips,"37,972",54.4M,"54,214,629,194"
