 ,Microsoft Windows,macOS,Linux,BSD,UNIX,OpenVMS
Acme,Partial,Yes,Yes,Yes,Yes,No
AkelPad,Yes,No,No,No,No,No
Alphatk,Yes,Yes,Yes,Yes,Yes,Yes
Aquamacs,No,Yes,No,No,No,No
Atom,Yes,Yes,Yes,No,No,No
Arachnophilia,Yes,Yes,Yes,Yes,Yes,No
BBEdit,No,Yes,No,No,No,No
Bluefish,Yes,Yes,Yes,Yes,Yes,Yes
Brackets,Yes,Yes,Yes,No,No,No
Coda,No,Yes,No,No,No,No
ConTEXT,Yes,No,No,No,No,No
Crimson,Yes,No,No,No,No,No
CudaText,Yes,Yes,Yes,Yes,Yes,No
ed,Partial,Yes,Yes,Yes,Yes,Yes
Editra,Yes,Yes,Yes,Partial,Partial,Partial
EmEditor,Yes,No,No,No,No,No
epsilon,Yes,Yes,Yes,Yes,Yes,No
Geany,Yes,Yes,Yes,Yes,Yes,Yes
gedit,Yes,Yes,Yes,Yes,Yes,No
GNU,Yes,Yes,Yes,Yes,Yes,Yes
JED,Yes,Yes,Yes,Yes,Yes,Yes
jEdit,Yes,Yes,Yes,Yes,Yes,No
JOE,Yes,Yes,Yes,Yes,Yes,No
JOVE,Yes,Yes,Yes,Yes,Yes,No
Kate,Yes,Yes,Yes,Yes,Yes,No
KEDIT,Yes,No,No,No,No,No
Komodo,Yes,Yes,Yes,Yes,Partial,Partial
Komodo,Yes,Yes,Yes,Yes,Partial,Partial
KWrite,Yes,Yes,Yes,Yes,Yes,No
LE,Partial,Yes,Yes,Yes,Yes,No
Light,Yes,Yes,Yes,No,No,No
Metapad,Yes,No,No,No,No,No
mg,No,Yes,Yes,Yes,Yes,Partial
MinEd,Yes,Yes,Yes,Yes,Yes,Yes
GNU,Yes,Yes,Yes,Yes,Yes,No
ne,Partial,Yes,Yes,Yes,Yes,No
NEdit,Partial,Yes,Yes,Yes,Yes,Yes
Notepad,Yes,No,No,No,No,No
Notepad++,Yes,No,No,No,No,No
nvi,No,Yes,Yes,Yes,Yes,No
Pico,Yes,Yes,Yes,Yes,Yes,Yes
PSPad,Yes,No,No,No,No,No
RJ,Yes,No,No,No,No,No
Sam,Partial,Yes,Yes,Yes,Yes,No
SciTE,Yes,Yes,Yes,Yes,Yes,No
SlickEdit,Yes,Yes,Yes,No,Yes,No
Smultron,No,Yes,No,No,No,No
Source,Yes,No,No,No,No,No
SubEthaEdit,No,Yes,No,No,No,No
Sublime,Yes,Yes,Yes,No,No,No
TED,Yes,No,No,No,No,No
Textadept,Yes,Yes,Yes,No,No,No
TextEdit,No,Yes,No,No,No,No
TextMate,No,Yes,No,No,No,No
TextPad,Yes,No,No,No,No,No
TextWrangler,No,Yes,No,No,No,No
The,Yes,No,No,No,No,No
UltraEdit,Yes,Yes,Yes,No,No,No
Ulysses,No,Yes,No,No,No,No
vi,Yes,Yes,Yes,Yes,Yes,Yes
Vim,Yes,Yes,Yes,Yes,Yes,Yes
Visual,Yes,Yes,Yes,No,No,No
XEmacs,Yes,Yes,Yes,Yes,Yes,Yes
